0;Mme;Langlois;Jordan
1;Mme;Riviere;Yassine
2;Mme;Garnier;Valentin
3;Mme;Chauvet;Titouan
4;Mme;Marchal;Yacine
5;Mme;Marchal;Nicolas
6;Mr;Dufour;Alban
7;Mme;Roy;Louis
8;Mr;Lemaire;Thibaut
9;Mme;Girard;Lukas
10;Mme;Schneider;Esteban
11;Mme;Leroy;Loris
12;Mme;Meunier;Matis
13;Mme;Lemoine;Jason
14;Mme;Raynaud;Thibault
15;Mr;Perret;Ilyes
16;Mr;Pasquier;Lenny
17;Mr;Leduc;Logan
18;Mme;Vallee;Jordan
19;Mme;Bourgeois;Mathias
20;Mme;Duhamel;Rayane
21;Mme;Leblanc;Adrien
22;Mr;Auger;Teo
23;Mme;Lebrun;Diego
24;Mme;Millet;Amine
25;Mr;Poulain;Theo
26;Mr;Gay;Ethan
27;Mme;Royer;Logan
28;Mme;Couturier;Matis
29;Mme;Dumont;Yann
30;Mme;Perret;Valentin
31;Mme;Raynaud;Mateo
32;Mme;Chevalier;Romain
33;Mr;Schmitt;Yassine
34;Mr;Perret;Noe
35;Mr;Joly;Mohamed
36;Mr;Carpentier;Lilian
37;Mr;Dupuy;Thibault
38;Mme;Schmitt;Ilyes
39;Mme;Bourdon;Mathis
40;Mr;Regnier;Thibaut
41;Mme;Peltier;Matthias
42;Mr;Lesage;Morgan
43;Mme;Giraud;Etienne
44;Mme;Laporte;Teo
45;Mme;Allard;Bastien
46;Mme;Vallee;Ryan
47;Mr;Navarro;Rayane
48;Mr;Bousquet;Lorenzo
49;Mme;Vidal;Francois
50;Mr;Gaudin;Corentin
51;Mr;Carpentier;Julien
52;Mme;Gomez;Killian
53;Mr;Marchal;Eliott
54;Mme;Fleury;Maxime
55;Mme;Hebert;Adrien
56;Mr;Simonet;Thibault
57;Mme;Lopez;Joris
58;Mr;Rossignol;Paul
59;Mr;Lefevre;Jason
60;Mme;Verdier;Johan
61;Mme;Besson;Gabin
62;Mr;Vasseur;Axel
63;Mr;Gomez;Liam
64;Mr;Lefevre;Kyllian
65;Mr;Bailly;Florent
66;Mr;Charpentier;Yannis
67;Mr;Hernandez;Remy
68;Mme;Coste;Martin
69;Mr;Rey;Allan
70;Mme;Levy;Sebastien
71;Mme;Laroche;Emilien
72;Mme;Bazin;Timothee
73;Mme;Marechal;Gabin
74;Mr;Cordier;Mathys
75;Mr;Gaillard;Sacha
76;Mr;Boyer;Robin
77;Mme;Guichard;Noa
78;Mr;Duhamel;Thomas
79;Mme;Lenoir;William
80;Mme;Meunier;Louis
81;Mme;Chauvet;Tony
82;Mme;Bourgeois;Alexandre
83;Mme;Fischer;Kilian
84;Mr;Blanchard;Mathis
85;Mr;Schmitt;Nolan
86;Mme;Besson;Yann
87;Mr;Lefevre;Yann
88;Mr;Pichon;Robin
89;Mme;Dubois;Alan
90;Mr;Lopez;Valentin
91;Mr;Ferrand;Allan
92;Mr;Duval;Jordan
93;Mr;Laporte;Mathieu
94;Mme;Pereira;Ethan
95;Mr;Legrand;Lukas
96;Mr;Blanc;Luca
97;Mme;Deschamps;Anthony
98;Mme;Monnier;David
99;Mme;Laporte;Teo
100;Mme;Le goff;Thibaut
101;Mme;Germain;Nassim
102;Mr;Rousseau;Samy
103;Mme;Sauvage;Erwan
104;Mme;Jacquet;Simon
105;Mr;Coulon;Louis
106;Mr;Masse;Alexis
107;Mme;Charrier;Samuel
108;Mme;Rossi;Lenny
109;Mr;Valentin;Kevin
110;Mr;Vallee;Timothe
111;Mr;Verdier;Younes
112;Mr;Buisson;Lilian
113;Mme;Perez;Killian
114;Mme;Berard;Allan
115;Mr;Pereira;Steven
116;Mr;Da silva;David
117;Mme;Dupont;Paul
118;Mr;Guillou;Vincent
119;Mme;Poirier;Julien
120;Mme;Bonnet;Rayane
121;Mr;Ferrand;Hugo
122;Mme;Marchal;Quentin
123;Mr;Vasseur;Gabin
124;Mr;Baron;Mehdi
125;Mr;Leblanc;Bastien
126;Mme;Guichard;David
127;Mr;Brunel;Ilyes
128;Mme;Boulanger;Matis
129;Mme;Gauthier;Loris
130;Mr;Masse;Kylian
131;Mme;Marin;Valentin
132;Mme;Joubert;Romain
133;Mme;Bourgeois;Arnaud
134;Mr;Marechal;Julien
135;Mme;Evrard;Adrien
136;Mr;Hamon;David
137;Mr;Delannoy;David
138;Mme;Marques;Lucas
139;Mme;Morvan;Francois
140;Mme;Lefebvre;Dylan
141;Mr;Fontaine;Florian
142;Mr;Le goff;Enzo
143;Mme;Verdier;Ilyes
